old	new
s__Prevotella sp002300055	s__Prevotella faecis
s__Prevotella sp002350355	s__Prevotella mizrahii
s__Prevotella sp003043925	s__Prevotella illustrans
s__Prevotella sp013166545	s__Prevotella rodentium
s__Prevotella sp013166605	s__Prevotella muris
s__Prevotella sp900314945	s__Prevotella lacticifex
s__Prevotella sp900540415	s__Prevotella massiliensis
s__Prevotella sp900554045	s__Prevotella stercoripullorum
g__Prevotellamassilia	g__Alloprevotella
s__Prevotellamassilia sp000437675	s__Alloprevotella sp000437675
s__Prevotellamassilia sp002431845	s__Alloprevotella sp002431845
s__Prevotellamassilia sp002933955	s__Alloprevotella sp002933955
s__Prevotellamassilia sp004552155	s__Alloprevotella sp004552155
s__Prevotellamassilia sp004552195	s__Alloprevotella sp004552195
s__Prevotellamassilia sp004552865	s__Alloprevotella sp004552865
s__Prevotellamassilia sp004555425	s__Alloprevotella sp004555425
s__Prevotellamassilia sp004556745	s__Alloprevotella sp004556745
s__Prevotellamassilia sp004557035	s__Alloprevotella sp004557035
s__Prevotellamassilia sp004557185	s__Alloprevotella sp004557185
s__Prevotellamassilia sp004558535	s__Alloprevotella sp004558535
s__Prevotellamassilia sp004562975	s__Alloprevotella sp004562975
s__Prevotellamassilia sp009775705	s__Alloprevotella sp009775705
s__Prevotellamassilia sp900539625	s__Alloprevotella sp900539625
s__Prevotellamassilia sp900540885	s__Alloprevotella sp900540885
s__Prevotellamassilia sp900541335	s__Alloprevotella sp900541335
s__Prevotellamassilia sp900541575	s__Alloprevotella sp900541575
s__Prevotellamassilia sp900542795	s__Alloprevotella sp900542795
s__Prevotellamassilia sp900543155	s__Alloprevotella sp900543155
s__Prevotellamassilia sp900546605	s__Alloprevotella sp900546605
s__Prevotellamassilia sp900556465	s__Alloprevotella sp900556465
s__Prevotellamassilia sp900752815	s__Alloprevotella sp900752815
s__Prevotellamassilia sp900768625	s__Alloprevotella sp900768625
s__Prevotellamassilia sp900772575	s__Alloprevotella sp900772575
s__Prevotellamassilia timonensis	s__Alloprevotella timonensis
g__RUG13423	g__UBA2918
s__RUG13423 sp902788865	s__UBA2918 sp902788865
g__RUG210	g__Alloprevotella
s__RUG210 sp003265305	s__Alloprevotella muciniphila
s__RUG210 sp900316575	s__Alloprevotella sp900316575
s__RUG210 sp902796835	s__Alloprevotella sp902796835
s__UBA6382 sp003446955	s__UBA6382 sp002372095
f__Bacteroidaceae_A	f__CAJPTX01
g__JABCPG02	g__Bacteroides_D
s__JABCPG02 sp013333195	s__Bacteroides_D sp013333195
s__Barnesiella sp002159975	s__Barnesiella merdigallinarum
s__Barnesiella sp002161555	s__Barnesiella merdipullorum
s__Barnesiella sp003150885	s__CABJAA01 sp003150885
s__Barnesiella sp900538555	s__UMGS27 sp900538555
s__Barnesiella sp900538705	s__Barnesiella_A sp900538705
s__Barnesiella sp900542255	s__Barnesiella_A excrementipullorum
s__Coprobacter sp900555475	s__Coprobacter fastidiosus
s__Fermentimonas caenicola	s__Fermentimonas massiliensis
s__Petrimonas sp012728465	s__JAAYFB01 sp012728465
s__UBA4179 sp002849245	s__Seramator thermalis
g__F082	g__Limimorpha
s__F082 sp001543395	s__Limimorpha sp001543395
s__F082 sp001603665	s__Limimorpha sp001603665
s__F082 sp002310075	s__Limimorpha sp002310075
s__F082 sp002311655	s__Limimorpha sp002311655
s__F082 sp002396205	s__Limimorpha sp002396205
s__F082 sp002633315	s__Limimorpha sp002633315
s__F082 sp900315175	s__Limimorpha sp900315175
s__F082 sp900317055	s__Limimorpha sp900317055
s__F082 sp900317155	s__Limimorpha sp900317155
s__F082 sp900318085	s__Limimorpha sp900318085
s__F082 sp900318265	s__Limimorpha sp900318265
s__F082 sp900318465	s__Limimorpha sp900318465
s__F082 sp900321315	s__Limimorpha sp900321315
s__F082 sp900542475	s__Limimorpha sp900542475
s__F082 sp900769945	s__Limimorpha sp900769945
s__F082 sp900771045	s__Limimorpha sp900771045
s__F082 sp902767725	s__Limimorpha sp902767725
s__F082 sp902769815	s__Limimorpha sp902769815
s__F082 sp902769875	s__Limimorpha sp902769875
s__F082 sp902770835	s__Limimorpha sp902770835
s__F082 sp902771635	s__Limimorpha sp902771635
s__F082 sp902774295	s__Limimorpha sp902774295
s__F082 sp902774365	s__Limimorpha sp902774365
s__F082 sp902783365	s__Limimorpha sp902783365
s__F082 sp902785755	s__Limimorpha sp902785755
s__F082 sp902786745	s__Limimorpha sp902786745
s__F082 sp902787095	s__Limimorpha sp902787095
s__F082 sp902789915	s__Limimorpha sp902789915
s__F082 sp902791165	s__Limimorpha sp902791165
s__F082 sp902794155	s__Limimorpha sp902794155
s__F082 sp902799345	s__Limimorpha sp902799345
s__F082 sp902800965	s__Limimorpha sp902800965
s__F082 sp902801465	s__Limimorpha sp902801465
s__F082 sp902801625	s__Limimorpha sp902801625
s__F082 sp902802535	s__Limimorpha sp902802535
g__SZUA-53	g__Sulfidibacterium
s__SZUA-53 sp003232915	s__Sulfidibacterium sp003232915
s__UBA6192 sp002421995	s__JALNZU01 sp002421995
s__UBA6192 sp002842755	s__JALNZU01 sp002842755
s__UBA6192 sp009773165	s__JALNZU01 sp009773165
s__UBA6192 sp013141455	s__CAJBPB01 sp013141455
s__UBA6192 sp903891085	s__CAJBPB01 sp903891085
s__UBA6192 sp903957365	s__CAJBPB01 sp903957365
g__GCA-002840985	g__GCA-2711565
s__GCA-002840985 sp002840985	s__GCA-2711565 sp002840985
g__Cfx3-02	g__UBA4417
s__Cfx3-02 sp013376995	s__UBA4417 sp013376995
g__UBA5507	g__Lentimicrobium
s__UBA5507 sp002426195	s__Lentimicrobium sp002426195
s__Ancylomarina sp003863355	s__Ancylomarina euxinus
s__Labilibaculum sp003863375	s__Labilibaculum euxinus
s__Marinifilum sp013141825	s__Marinifilum caeruleilacunae
g__RJJX01	g__Ancylomarina_A
s__RJJX01 sp003996985	s__Ancylomarina_A longa
s__Marinilabilia sp003121985	s__Marinilabilia rubra
g__SZUA-609	g__SZUA-582
s__SZUA-609 sp003249255	s__SZUA-582 sp003249255
g__CAG-279	g__Limisoma
s__CAG-279 sp000437795	s__Limisoma sp000437795
s__CAG-279 sp004555955	s__Limisoma sp004555955
s__CAG-279 sp004561555	s__Limisoma sp004561555
s__CAG-279 sp900541555	s__Limisoma intestinavium
s__CAG-279 sp900541935	s__Limisoma sp900541935
s__CAG-279 sp900544305	s__Limisoma sp900544305
s__CAG-279 sp900548875	s__Limisoma sp900548875
s__CAG-279 sp900550025	s__Limisoma gallistercoris
s__CAG-279 sp900556245	s__Limisoma sp900556245
s__CAG-873 sp009775275	s__CAG-873 sp011959565
s__Muribaculum sp002358615	s__Muribaculum faecis
s__Muribaculum sp002492595	s__Muribaculum gordoncarteri
s__Paramuribaculum sp900553585	s__Paramuribaculum sp910587185
s__Paramuribaculum sp900752995	s__Paramuribaculum sp910587185
s__UBA7173 sp001915385	s__JAGBWK01 sp001915385
s__UBA7173 sp004102805	s__JAGBWK01 sp004102805
s__UBA7173 sp900768685	s__CAJUPY01 sp900768685
g__UBA3388	g__Onthomorpha
s__UBA3388 sp002358835	s__Onthomorpha sp002358835
s__UBA3388 sp002358855	s__Onthomorpha sp002358855
s__UBA3388 sp004551865	s__Onthomorpha sp004551865
s__UBA3388 sp900545215	s__Onthomorpha sp900545215
s__UBA3388 sp900546465	s__Onthomorpha sp900546465
g__RUG163	g__Enterocola
s__RUG163 sp002069025	s__Enterocola sp002069025
s__RUG163 sp009930305	s__Enterocola sp009930305
s__RUG163 sp900316125	s__Enterocola sp900316125
s__RUG163 sp900316995	s__Enterocola sp900316995
g__SFVR01	g__Aphodosoma
s__SFVR01 sp004561455	s__Aphodosoma sp900769035
s__SFVR01 sp900769035	s__Aphodosoma sp900769035
s__SFVR01 sp900771035	s__Aphodosoma sp900771035
s__Draconibacterium luteus	s__Draconibacterium luteum
s__Draconibacterium sp010448835	s__Draconibacterium halophilum
s__Draconibacterium sp010586825	s__Draconibacterium mangrovi
s__Mangrovibacterium sp010882175	s__Mangrovibacterium lignilyticum
s__Sunxiuqinia sp009847015	s__Sunxiuqinia indica
s__UBA1413 sp003486765	s__UBA1413 sp002419285
g__WC007	g__Draconibacterium
s__WC007 sp009762775	s__Draconibacterium comscasis
s__Alistipes sp000434235	s__Alistipes avistercoris
s__Alistipes sp002161445	s__Alistipes cottocaccae
s__Alistipes sp900021155	s__Alistipes excrementavium
s__Alistipes sp900290115	s__Alistipes excrementigallinarum
s__Alistipes sp900542505	s__Alistipes stercorigallinarum
s__Alistipes sp900544265	s__Alistipes merdavium
s__Alistipes sp900546065	s__Alistipes merdipullorum
s__Alistipes sp900549305	s__Alistipes montrealensis
s__Alistipes_A sp900240235	s__Alistipes_A pullistercoris
s__Alistipes_A sp900546005	s__Alistipes_A pullicola
s__Tidjanibacter inops_A	s__Tidjanibacter inops
s__Tidjanibacter sp009783565	s__WRDF01 sp009783565
s__Parabacteroides sp000436495	s__Parabacteroides faecavium
s__Parabacteroides sp900552415	s__Parabacteroides intestinipullorum
s__Tannerella sp003033925	s__Tannerella serpentiformis
s__UBA4116 sp002381645	s__DFXE01 sp002381645
g__JAAYPM01	g__WQTX01
s__JAAYPM01 sp012519815	s__WQTX01 sp012519815
s__PUML01 sp003551345	s__PUML01 sp007131125
g__CAG-831	g__Coprenecus
s__CAG-831 sp000432775	s__Coprenecus sp000432775
s__CAG-831 sp002317435	s__Coprenecus sp002317435
s__CAG-831 sp900544175	s__Coprenecus sp900544175
s__CAG-831 sp900550465	s__Coprenecus sp900550465
s__CAG-831 sp900769885	s__Coprenecus sp900769885
s__CAG-831 sp900771335	s__Coprenecus sp900771335
s__CAG-831 sp902388455	s__Coprenecus sp902388455
g__RC9	g__Cryptobacteroides
s__RC9 sp000431015	s__Cryptobacteroides sp000431015
s__RC9 sp000432515	s__Cryptobacteroides sp000432515
s__RC9 sp000432655	s__Cryptobacteroides sp000432655
s__RC9 sp000433355	s__Cryptobacteroides sp000433355
s__RC9 sp000434935	s__Cryptobacteroides sp000434935
s__RC9 sp000435075	s__Cryptobacteroides sp000435075
s__RC9 sp001602865	s__Cryptobacteroides sp001602865
s__RC9 sp001602885	s__Cryptobacteroides sp001602885
s__RC9 sp001915575	s__Cryptobacteroides pullicola
s__RC9 sp002297815	s__Cryptobacteroides sp002297815
s__RC9 sp002298075	s__Cryptobacteroides sp002298075
s__RC9 sp002308935	s__Cryptobacteroides sp002308935
s__RC9 sp002309995	s__Cryptobacteroides sp002309995
s__RC9 sp002314195	s__Cryptobacteroides sp002314195
s__RC9 sp002314885	s__Cryptobacteroides sp002314885
s__RC9 sp002315815	s__Cryptobacteroides sp002315815
s__RC9 sp002315825	s__Cryptobacteroides sp002315825
s__RC9 sp002320605	s__Cryptobacteroides sp002320605
s__RC9 sp002321335	s__Cryptobacteroides sp002321335
s__RC9 sp002350615	s__Cryptobacteroides sp002350615
s__RC9 sp002354005	s__Cryptobacteroides sp002354005
s__RC9 sp002361625	s__Cryptobacteroides sp002361625
s__RC9 sp002371115	s__Cryptobacteroides sp002371115
s__RC9 sp002373715	s__Cryptobacteroides sp002373715
s__RC9 sp002392525	s__Cryptobacteroides sp002392525
s__RC9 sp002393895	s__Cryptobacteroides sp002393895
s__RC9 sp002393945	s__Cryptobacteroides sp002393945
s__RC9 sp002395605	s__Cryptobacteroides sp002395605
s__RC9 sp002395925	s__Cryptobacteroides sp002395925
s__RC9 sp002396335	s__Cryptobacteroides sp002396335
s__RC9 sp002437305	s__Cryptobacteroides sp002437305
s__RC9 sp002438635	s__Cryptobacteroides sp002438635
s__RC9 sp002438805	s__Cryptobacteroides sp002438805
s__RC9 sp002438845	s__Cryptobacteroides sp002438845
s__RC9 sp002438905	s__Cryptobacteroides sp002438905
s__RC9 sp002439095	s__Cryptobacteroides sp002439095
s__RC9 sp002439585	s__Cryptobacteroides sp002439585
s__RC9 sp002439805	s__Cryptobacteroides sp002439805
s__RC9 sp002439875	s__Cryptobacteroides sp002439875
s__RC9 sp002440085	s__Cryptobacteroides sp002440085
s__RC9 sp002451795	s__Cryptobacteroides sp002451795
s__RC9 sp002472565	s__Cryptobacteroides sp002472565
s__RC9 sp004552115	s__Cryptobacteroides sp004552115
s__RC9 sp004552615	s__Cryptobacteroides sp004552615
s__RC9 sp004552965	s__Cryptobacteroides sp004552965
s__RC9 sp004554455	s__Cryptobacteroides sp004554455
s__RC9 sp004555145	s__Cryptobacteroides sp004555145
s__RC9 sp004556005	s__Cryptobacteroides sp004556005
s__RC9 sp009774765	s__Cryptobacteroides sp009774765
s__RC9 sp012522855	s__Cryptobacteroides sp012522855
s__RC9 sp012744435	s__Cryptobacteroides sp012744435
s__RC9 sp012800665	s__Cryptobacteroides sp012800665
s__RC9 sp900167895	s__Cryptobacteroides sp900167895
s__RC9 sp900167925	s__Cryptobacteroides sp900167925
s__RC9 sp900313205	s__Cryptobacteroides sp900313205
s__RC9 sp900313275	s__Cryptobacteroides sp900313275
s__RC9 sp900314395	s__Cryptobacteroides sp900314395
s__RC9 sp900316045	s__Cryptobacteroides sp900316045
s__RC9 sp900316245	s__Cryptobacteroides sp900316245
s__RC9 sp900316525	s__Cryptobacteroides sp900316525
s__RC9 sp900316675	s__Cryptobacteroides sp900316675
s__RC9 sp900316955	s__Cryptobacteroides sp900316955
s__RC9 sp900317065	s__Cryptobacteroides sp900317065
s__RC9 sp900317845	s__Cryptobacteroides sp900317845
s__RC9 sp900317925	s__Cryptobacteroides sp900317925
s__RC9 sp900318015	s__Cryptobacteroides sp900318015
s__RC9 sp900318355	s__Cryptobacteroides sp900318355
s__RC9 sp900318445	s__Cryptobacteroides sp900318445
s__RC9 sp900318565	s__Cryptobacteroides sp900318565
s__RC9 sp900318955	s__Cryptobacteroides sp900318955
s__RC9 sp900319185	s__Cryptobacteroides sp900319185
s__RC9 sp900319375	s__Cryptobacteroides sp900319375
s__RC9 sp900319405	s__Cryptobacteroides sp900319405
s__RC9 sp900319485	s__Cryptobacteroides sp900319485
s__RC9 sp900319685	s__Cryptobacteroides sp900319685
s__RC9 sp900319855	s__Cryptobacteroides sp900319855
s__RC9 sp900319975	s__Cryptobacteroides sp900319975
s__RC9 sp900320185	s__Cryptobacteroides sp900320185
s__RC9 sp900320365	s__Cryptobacteroides sp900320365
s__RC9 sp900320385	s__Cryptobacteroides sp900320385
s__RC9 sp900320545	s__Cryptobacteroides sp900320545
s__RC9 sp900320795	s__Cryptobacteroides sp900320795
s__RC9 sp900320965	s__Cryptobacteroides sp900320965
s__RC9 sp900321245	s__Cryptobacteroides sp900321245
s__RC9 sp900321655	s__Cryptobacteroides sp900321655
s__RC9 sp900321715	s__Cryptobacteroides sp900321715
s__RC9 sp900541925	s__Cryptobacteroides sp900541925
s__RC9 sp900543205	s__Cryptobacteroides excrementigallinarum
s__RC9 sp900544195	s__Cryptobacteroides sp900544195
s__RC9 sp900545245	s__Cryptobacteroides sp900545245
s__RC9 sp900546395	s__Cryptobacteroides sp900546395
s__RC9 sp900546445	s__Cryptobacteroides sp900546445
s__RC9 sp900546925	s__Cryptobacteroides sp900546925
s__RC9 sp900760425	s__Cryptobacteroides sp900760425
s__RC9 sp900767375	s__Cryptobacteroides sp900767375
s__RC9 sp900767405	s__Cryptobacteroides sp900767405
s__RC9 sp900769145	s__Cryptobacteroides sp900769145
s__RC9 sp900769905	s__Cryptobacteroides sp900769905
s__RC9 sp900771005	s__Cryptobacteroides sp900771005
s__RC9 sp902761655	s__Cryptobacteroides sp902761655
s__RC9 sp902762435	s__Cryptobacteroides sp902762435
s__RC9 sp902762655	s__Cryptobacteroides sp902762655
s__RC9 sp902766255	s__Cryptobacteroides sp902766255
s__RC9 sp902766985	s__Cryptobacteroides sp902766985
s__RC9 sp902767465	s__Cryptobacteroides sp902767465
s__RC9 sp902768665	s__Cryptobacteroides sp902768665
s__RC9 sp902768955	s__Cryptobacteroides sp902768955
s__RC9 sp902768985	s__Cryptobacteroides sp902768985
s__RC9 sp902772985	s__Cryptobacteroides sp902772985
s__RC9 sp902774045	s__Cryptobacteroides sp902774045
s__RC9 sp902774145	s__Cryptobacteroides sp902774145
s__RC9 sp902774155	s__Cryptobacteroides sp902774155
s__RC9 sp902774345	s__Cryptobacteroides sp902774345
s__RC9 sp902778105	s__Cryptobacteroides sp902778105
s__RC9 sp902779495	s__Cryptobacteroides sp902779495
s__RC9 sp902779765	s__Cryptobacteroides sp902779765
s__RC9 sp902779785	s__Cryptobacteroides sp902779785
s__RC9 sp902780175	s__Cryptobacteroides sp902780175
s__RC9 sp902780935	s__Cryptobacteroides sp902780935
s__RC9 sp902781705	s__Cryptobacteroides sp902781705
s__RC9 sp902782225	s__Cryptobacteroides sp902782225
s__RC9 sp902784435	s__Cryptobacteroides sp902784435
s__RC9 sp902784785	s__Cryptobacteroides sp902784785
s__RC9 sp902785065	s__Cryptobacteroides sp902785065
s__RC9 sp902785575	s__Cryptobacteroides sp902785575
s__RC9 sp902785825	s__Cryptobacteroides sp902785825
s__RC9 sp902787255	s__Cryptobacteroides sp902787255
s__RC9 sp902787295	s__Cryptobacteroides sp902787295
s__RC9 sp902788095	s__Cryptobacteroides sp902788095
s__RC9 sp902788175	s__Cryptobacteroides sp902788175
s__RC9 sp902789245	s__Cryptobacteroides sp902789245
s__RC9 sp902789395	s__Cryptobacteroides sp902789395
s__RC9 sp902790635	s__Cryptobacteroides sp902790635
s__RC9 sp902791945	s__Cryptobacteroides sp902791945
s__RC9 sp902792815	s__Cryptobacteroides sp902792815
s__RC9 sp902794005	s__Cryptobacteroides sp902794005
s__RC9 sp902794615	s__Cryptobacteroides sp902794615
s__RC9 sp902795445	s__Cryptobacteroides sp902795445
s__RC9 sp902795735	s__Cryptobacteroides sp902795735
s__RC9 sp902795785	s__Cryptobacteroides sp902795785
s__RC9 sp902796455	s__Cryptobacteroides sp902796455
s__RC9 sp902796555	s__Cryptobacteroides sp902796555
s__RC9 sp902797035	s__Cryptobacteroides sp902797035
s__RC9 sp902797435	s__Cryptobacteroides sp902797435
s__RC9 sp902798975	s__Cryptobacteroides sp902798975
s__RC9 sp902799895	s__Cryptobacteroides sp902799895
s__RC9 sp902801205	s__Cryptobacteroides sp902801205
s__RC9 sp902801885	s__Cryptobacteroides sp902801885
s__RC9 sp902803535	s__Cryptobacteroides sp902803535
s__RC9 sp902803715	s__Cryptobacteroides sp902803715
g__UBA1232	g__Egerieousia
s__UBA1232 sp002309115	s__Egerieousia sp002309115
s__UBA1232 sp002315995	s__Egerieousia sp002315995
s__UBA1232 sp002372015	s__Egerieousia sp002372015
s__UBA1232 sp004561775	s__Egerieousia sp004561775
s__UBA1232 sp900316795	s__Egerieousia sp900316795
s__UBA1232 sp900322025	s__Egerieousia sp900322025
s__UBA1232 sp900544815	s__Egerieousia sp900544815
s__UBA1232 sp900769385	s__Egerieousia sp900769385
s__UBA1232 sp900769735	s__Egerieousia sp900769735
s__UBA1232 sp902769525	s__Egerieousia sp902769525
s__UBA1232 sp902780455	s__Egerieousia sp902780455
s__UBA1232 sp902797115	s__Egerieousia sp902797115
s__UBA1232 sp902797895	s__Egerieousia sp902797895
g__UBA3382	g__Merdivivens
s__UBA3382 sp002159555	s__Merdivivens faecigallinarum
s__UBA3382 sp002358965	s__Merdivivens sp002358965
s__F23-D06 sp902771655	s__RUG11690 sp902771655
s__F23-D06 sp902802755	s__RUG11690 sp902802755
s__UBA5429 sp009776395	s__WRNX01 sp009776395
s__UBA5429 sp009786185	s__WRNX01 sp009786185
s__UBA5429 sp009787115	s__WRNX01 sp009787115
s__UBA5429 sp009787485	s__WRNX01 sp009787485
s__UBA5429 sp009787675	s__WRNX01 sp009787675
s__Arachidicoccus sp003600625	s__Arachidicoccus soli
s__Chitinophaga sp003149455	s__Chitinophaga deserti
s__Chitinophaga sp003177275	s__Chitinophaga alhagiae
s__Chitinophaga sp003412465	s__Chitinophaga silvisoli
s__Chitinophaga sp003419895	s__Chitinophaga silvatica
s__Chitinophaga sp003994345	s__Chitinophaga solisilvae
s__Chitinophaga sp008386695	s__Chitinophaga agrisoli
s__Chitinophaga sp009758205	s__Chitinophaga tropicalis
s__Chitinophaga sp010093065	s__Chitinophaga agri
s__Chitinophaga sp012516355	s__Chitinophaga oryzae
s__Chitinophaga sp012927205	s__Chitinophaga fulva
s__Edaphocola sp003545695	s__Edaphocola helvus
s__Edaphocola sp008629695	s__Edaphocola luteus
s__Flaviaesturariibacter sp004337505	s__Flaviaesturariibacter flavus
s__Flaviaesturariibacter sp004343705	s__Flaviaesturariibacter aridisoli
s__Flavihumibacter sp004295245	s__JACMLD01 sp004295245
s__Flavihumibacter sp014379785	s__JACMLD01 sp014379785
s__Flavihumibacter sp014380425	s__JADCRZ01 sp014380425
s__Flavipsychrobacter sp013287555	s__Flavipsychrobacter sp013286835
s__Flavipsychrobacter sp013289355	s__Flavipsychrobacter sp013286835
s__Flavisolibacter sp003628535	s__Flavisolibacter nicotianae
s__JABDFW01 sp013286415	s__JABDFW01 sp013286305
g__NS-102	g__Agriterribacter
s__NS-102 sp001899685	s__Agriterribacter sp001899685
s__NS-102 sp003075435	s__Agriterribacter sp003075435
s__NS-102 sp009192765	s__Agriterribacter humi
g__PSRI01	g__Agriterribacter
s__PSRI01 sp003175935	s__Agriterribacter sp003175935
g__Palsa-955	g__JADGPY01
s__Palsa-955 sp002050465	s__JADGPY01 sp002050465
s__Palsa-955 sp003132765	s__Ginsengibacter sp003132765
s__Palsa-955 sp003721595	s__Hanamia caeni
s__Palsa-955 sp008710285	s__Ginsengibacter hankyongi
s__Palsa-955 sp013694745	s__JADGPY01 sp013694745
s__Panacibacter sp002390845	s__Limnovirga sp002390845
s__Panacibacter sp002478885	s__DLKC01 sp002478885
s__Panacibacter sp013106755	s__Limnovirga soli
s__Parafilimonas sp013288785	s__Parafilimonas sp013285855
s__Paraflavitalea sp011759375	s__Paraflavitalea devenefica
g__RDXD01	g__Phnomibacter
s__RDXD01 sp004292575	s__Phnomibacter sp004292575
s__RDXD01 sp009740285	s__Phnomibacter ginsenosidimutans
s__Sediminibacterium sp009773795	s__Sediminibacterium sp008080615
s__Sediminibacterium sp009939225	s__Sediminibacterium soli
s__UBA1930 sp004028795	s__CW01 sp004028795
g__UBA2791	g__Flavitalea
s__UBA2791 sp002352105	s__Flavitalea sp002352105
s__UBA2791 sp014379345	s__Flavitalea sp014379345
s__VBAS01 sp005882315	s__VBAR01 sp005882315
g__YG09	g__Foetidibacter
s__YG09 sp009650435	s__Foetidibacter luteolus
s__Lewinella_A sp008014675	s__Lewinella_A aurantiaca
s__PWJY01 sp003559865	s__PWJY01 sp007128085
g__172606-1	g__Rhodocytophaga
s__172606-1 sp010119975	s__Rhodocytophaga rosea
s__Algoriphagus sp007655305	s__Algoriphagus algorifonticola
s__Aquiflexum sp003316845	s__Aquiflexum_A aquatile
g__Chryseolinea_A	g__Ohtaekwangia
s__Chryseolinea_A flava	s__Ohtaekwangia flava
s__Cyclobacterium sp010119225	s__Cyclobacterium roseum
s__Cyclobacterium sp010119245	s__Cyclobacterium salsum
s__ELB16-189 sp013285845	s__ELB16-189 sp013285945
s__Echinicola sp006575665	s__Echinicola soli
s__Echinicola sp014280965	s__Echinicola salinicaeni
g__Fabibacter_A	g__Mangrovivirga
s__Fabibacter_A pacificus_A	s__Mangrovivirga cuniculi
s__Fabibacter_A sp012926615	s__Mangrovivirga sp012926615
s__Litoribacter sp007483685	s__Litoribacter populi
s__Lunatimonas sp009797935	s__Lunatimonas salilacus
g__Negadavirga	g__Pleomorphovibrio
s__Negadavirga sp003347495	s__Pleomorphovibrio marinus
s__Negadavirga sp003565295	s__Pleomorphovibrio sp003565295
s__Flammeovirga sp012641475	s__Flammeovirga agarivorans
s__Adhaeribacter sp003023845	s__Adhaeribacter arboris
s__Adhaeribacter sp003340495	s__Adhaeribacter pallidiroseus
s__Adhaeribacter sp008629685	s__Adhaeribacter rhizoryzae
s__Adhaeribacter sp014075995	s__Adhaeribacter radiodurans
s__Botryobacter beigongshangensis	s__Botryobacter_A beigongshangensis
s__Botryobacter sp008017455	s__Botryobacter_A sp008017455
s__Hymenobacter sp002154225	s__Hymenobacter crusticola
s__Hymenobacter sp003944705	s__Hymenobacter metallilatus
s__Hymenobacter sp004355185	s__Hymenobacter radiodurans
s__Hymenobacter sp004745645	s__Hymenobacter metallicola
s__Hymenobacter sp004745825	s__Hymenobacter fodinae
s__Hymenobacter sp007713685	s__Hymenobacter setariae
s__Hymenobacter sp008728635	s__Hymenobacter baengnokdamensis
s__Hymenobacter sp009755225	s__Hymenobacter ginkgonis
s__Hymenobacter sp012275535	s__Hymenobacter artigasi
s__Hymenobacter sp012927305	s__Hymenobacter polaris
s__Hymenobacter sp013294115	s__Hymenobacter caeli
s__Hymenobacter sp013377885	s__Hymenobacter lapidiphilus
s__Hymenobacter sp013377905	s__Hymenobacter terrestris
s__Hymenobacter sp014217645	s__Hymenobacter profundi
s__Hymenobacter sp014333615	s__Hymenobacter citatus
s__Nibribacter sp009913235	s__Nibribacter ruber
s__Pontibacter sp001907195	s__Pontibacter flavimaris
s__Pontibacter sp003284895	s__Pontibacter arcticus
s__Pontibacter sp006385705	s__Pontibacter mangrovi
s__Pontibacter sp010015475	s__Pontibacter pamirensis
s__Pontibacter sp010119545	s__Pontibacter fetidus
s__Pontibacter sp010686685	s__Pontibacter burrus
s__Pontibacter sp014297265	s__Pontibacter deserti
s__Pontibacter sp014306105	s__Pontibacter cellulosilyticus
s__Rufibacter sp001078055	s__Rufibacter radiotolerans
s__Rufibacter sp003721515	s__Rufibacter latericius
s__Rufibacter sp008271695	s__Rufibacter hautae
s__Rufibacter sp014269285	s__Rufibacter sediminis
s__Solirubrum oligotrophus	s__Solirubrum oligotrophum
s__Solirubrum sp003258365	s__Solirubrum edaphi
s__Solirubrum sp009906935	s__Solirubrum busanense
g__VTWT01	g__Adhaeribacter_A
s__VTWT01 sp008727925	s__Adhaeribacter_A soli
f__Marinoscillaceae	f__MED-G16
s__GCA-2715645 sp002715645	s__GCA-2715645 sp902628365
s__MED-G16 sp902636265	s__MED-G16 sp002697405
s__Allopseudarcicella aquatilis	s__Allopseudarcicella nivalisilvae
s__Allopseudarcicella sp004118285	s__Allopseudarcicella rosea
s__Allopseudarcicella sp011090385	s__Allopseudarcicella beregesia
s__Allopseudarcicella sp011250515	s__Allopseudarcicella ecclesiirivi
s__Emticicia sp004168285	s__Emticicia agri
s__Fibrella sp002108455	s__Fibrella algicola
s__Larkinella sp003334855	s__Larkinella punicea
s__Larkinella sp008727875	s__Larkinella humicola
s__Runella sp003325355	s__Runella rosea
s__Runella sp003339505	s__Runella aurantiaca
s__Spirosoma sp003259005	s__Spirosoma telluris
s__Spirosoma sp009754945	s__Spirosoma arboris
s__Spirosoma sp010233585	s__Spirosoma endbachense
s__Spirosoma sp011604685	s__Spirosoma aureum
s__Spirosoma sp013127955	s__Spirosoma taeanense
s__Spirosoma sp014282275	s__Spirosoma utsteinense
g__UBA6715	g__Sandaracinomonas
s__UBA6715 sp004005965	s__Sandaracinomonas limnophila
s__Fluviicola sp003856375	s__Fluviicola amylolyticus
g__UBA5422	g__Taishania
s__UBA5422 sp002409405	s__Taishania sp002409405
s__UBA5422 sp011030385	s__Taishania pollutisoli
s__Aequorivita sp012522045	s__JAAYLC01 sp012522045
s__Aestuariibaculum sp014596945	s__Aestuariibaculum sediminum
s__Algibacter sp008033385	s__Algibacter pacificus
s__Algibacter_B sp003143755	s__Algibacter_B marinivivus
s__Altibacter sp014295415	s__Constantimarinum furrinae
g__Antarcticibacterium	g__Gillisia
s__Antarcticibacterium flavum	s__Gillisia flava
s__Aquimarina sp006443095	s__Aquimarina algicola
s__Arenibacter sp002150785	s__Arenibacter amylolyticus
